speed_ms,power_ratio,sample_count,raw_sample_count,zeng_datalink_fit,faessler_datalink_fit,kirschstein_datalink_fit
2.4624748023768035,1.016136885119364,1303,1304,0.9929218575770486,0.993017761272335,0.9929087481500622
3.511285481322351,1.0266898538180291,1107,1107,0.9869309543808211,0.9869811906086716,0.9869730636860494
4.526273127797663,1.0079628864836763,911,911,0.9808375389759019,0.9807796487159961,0.9809604980487707
5.594750877597143,0.9666264673943878,1760,1760,0.9754997524437903,0.9753270069163537,0.9756833658130444
6.4221533884016315,1.0035889065841919,1711,1711,0.9730860222184037,0.972878136753661,0.973261001448347
7.900430308277751,0.9550555422877431,4935,4935,0.9745910063533365,0.9745019502947732,0.9746013216511487
8.07723560857004,0.9523051467823208,2020,2020,0.9753704126818102,0.9753085157396431,0.9753521889630519
9.536946761960088,1.0839282957575693,1154,1154,0.9873619810380309,0.9875258604406713,0.9871423589820394
10.904366283273962,0.9918833974806402,8556,8556,1.0081907988699064,1.0083136117169262,1.0080870179160952
11.088186985269962,1.023626088711965,4552,4552,1.0117308685831021,1.0118080494466346,1.011686189892317
12.338323946638544,1.0490848947935785,86,86,1.0406070228832585,1.0399873034278264,1.0413728139248861
